,Time,Symbol,Product,Change,Change_ratio,den,den_up,den_sh,Total V_5m,TUp V_5m,TUp Vr_5m,Up Vd_5m,Up Vr_5m,Undef V_5m,Undef Vr_5m,move ticks_5m,Total V_15m,TUp V_15m,TUp Vr_15m,Up Vd_15m,Up Vr_15m,Undef V_15m,Undef Vr_15m,move ticks_15m,Total V_60m,TUp V_60m,TUp Vr_60m,Up Vd_60m,Up Vr_60m,Undef V_60m,Undef Vr_60m,move ticks_60m
129,2021-09-03 20:57:56.493229,@BOZ21-@BOH22,SOYBEAN OIL,-0.04,-0.36,0.17,0.0,0.17,18.0,0.0,0.0,2.0,0.11,0.0,0.0,0.0,40.0,19.0,0.48,8.0,0.2,0.0,0.0,0.0,229.0,121.0,0.53,109.0,0.48,0.0,0.0,1.0
130,2021-09-03 20:57:14.294626,@LEZ21-@LEJ22,LIVE CATTLE,-0.075,-0.17,0.08,0.08,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,35.0,32.0,0.91,30.0,0.86,0.0,0.0,5.0,82.0,69.0,0.84,65.0,0.79,0.0,0.0,0.0
131,2021-09-03 20:53:36.234035,@SMV21-@SMH22,SOYBEAN MEAL,-0.5,-0.52,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,12.0,8.0,0.67,4.0,0.33,0.0,0.0,2.0
132,2021-09-03 20:58:14.732441,@BOF22-@BOK22,SOYBEAN OIL,-0.01,-0.07,0.08,0.0,0.08,3.0,2.0,0.67,1.0,0.33,0.0,0.0,-1.0,6.0,5.0,0.83,2.0,0.33,0.0,0.0,-1.0,34.0,16.0,0.47,18.0,0.53,0.0,0.0,-4.0
133,2021-09-03 20:55:35.926187,@BOH22-@BON22,SOYBEAN OIL,0.03,0.22,,,,5.0,1.0,0.2,4.0,0.8,0.0,0.0,0.0,12.0,4.0,0.33,9.0,0.75,0.0,0.0,0.0,73.0,40.0,0.55,48.0,0.66,0.0,0.0,0.0
134,2021-09-03 20:48:50.951774,@SMF22-@SMK22,SOYBEAN MEAL,-0.7,-0.76,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,10.0,0.77,10.0,0.77,0.0,0.0,2.0
135,2021-09-03 20:57:15.618770,@LEV21-@LEJ22,LIVE CATTLE,-0.05,-0.07,0.25,0.25,0.0,27.0,25.0,0.93,27.0,1.0,0.0,0.0,5.0,55.0,49.0,0.89,55.0,1.0,0.0,0.0,8.0,142.0,88.0,0.62,130.0,0.92,0.0,0.0,10.0
136,2021-09-03 20:58:10.133509,@HEZ21-@HEJ22,LEAN HOGS,-0.3,-0.5,0.08,0.08,0.0,4.0,2.0,0.5,3.0,0.75,0.0,0.0,-1.0,16.0,2.0,0.12,3.0,0.19,0.0,0.0,-1.0,41.0,16.0,0.39,15.0,0.37,0.0,0.0,-1.0
137,2021-09-03 20:56:05.126285,QHOH22-QHOK22,NEW YORK HARBOR ULSD,-0.0013,-1.23,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2021-09-03 20:52:18.664462,@SMU21-@SMV21,SOYBEAN MEAL,1.9,5.04,,,,,,,,,,,,32.0,25.0,0.78,30.0,0.94,0.0,0.0,5.0,80.0,41.0,0.51,50.0,0.62,0.0,0.0,-1.0
139,2021-09-03 20:57:55.471921,@SMH22-@SMK22,SOYBEAN MEAL,-0.3,-1.26,0.08,0.0,0.08,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,1.0,74.0,0.75,0.0,0.0,1.0
140,2021-09-03 20:55:39.172246,@BOZ21-@BOK22,SOYBEAN OIL,-0.02,-0.11,,,,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,5.0,0.71,2.0,0.29,0.0,0.0,0.0,86.0,57.0,0.66,13.0,0.15,0.0,0.0,0.0
141,2021-09-03 20:57:19.814997,@BON22-@BOQ22,SOYBEAN OIL,0.05,0.68,0.08,0.08,0.0,29.0,29.0,1.0,27.0,0.93,0.0,0.0,1.0,37.0,31.0,0.84,29.0,0.78,0.0,0.0,2.0,156.0,67.0,0.43,68.0,0.44,0.0,0.0,0.0
142,2021-09-03 20:57:14.485889,@SH22-@SN22,SOYBEANS,-0.25,-0.15,0.08,0.0,0.08,51.0,5.0,0.1,3.0,0.06,0.0,0.0,-1.0,68.0,5.0,0.07,3.0,0.04,0.0,0.0,-1.0,157.0,45.0,0.29,59.0,0.38,0.0,0.0,-2.0
143,2021-09-03 20:58:14.150239,@CH22-@CN22,CORN,-0.5,-0.72,0.17,0.17,0.0,122.0,121.0,0.99,120.0,0.98,0.0,0.0,2.0,126.0,124.0,0.98,124.0,0.98,0.0,0.0,2.0,243.0,183.0,0.75,222.0,0.91,0.0,0.0,2.0
144,2021-09-03 20:54:30.738958,QRBZ21-QRBH22,RBOB GASOLINE,-0.001,-0.39,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,68.0,30.0,0.44,31.0,0.46,0.0,0.0,-7.0
145,2021-09-03 20:57:56.495849,@SX21-@SX22,SOYBEANS,3.0,0.38,0.08,0.0,0.08,7.0,1.0,0.14,0.0,0.0,0.0,0.0,-1.0,11.0,5.0,0.45,0.0,0.0,0.0,0.0,-2.0,116.0,63.0,0.54,62.0,0.53,0.0,0.0,5.0
146,2021-09-03 19:53:53.996000,@SBV21-@SBN22,SUGAR #11,-0.07,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2021-09-03 20:54:26.933799,@SN22-@SX22,SOYBEANS,3.25,0.69,,,,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,27.0,25.0,0.93,27.0,1.0,0.0,0.0,2.0,201.0,96.0,0.48,124.0,0.62,0.0,0.0,8.0
148,2021-09-03 20:58:14.182229,@CK22-@CU22,CORN,0.0,0.0,0.08,0.0,0.08,8.0,8.0,1.0,3.0,0.38,0.0,0.0,0.0,8.0,8.0,1.0,3.0,0.38,0.0,0.0,0.0,11.0,10.0,0.91,5.0,0.45,0.0,0.0,8.0
149,2021-09-03 20:57:14.486234,@SF22-@SN22,SOYBEANS,0.25,0.08,0.08,0.0,0.08,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,12.0,0.0,0.0,1.0,0.08,0.0,0.0,-2.0,35.0,12.0,0.34,10.0,0.29,0.0,0.0,-1.0
150,2021-09-03 20:56:23.827281,QNGV21-QNGV22,NATURAL GAS,0.011,0.18,0.08,0.08,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22.0,21.0,0.95,8.0,0.36,0.0,0.0,2.0,27.0,26.0,0.96,13.0,0.48,0.0,0.0,0.0
151,2021-09-03 20:57:11.228566,@CU21-@CZ21,CORN,-7.25,-3.97,0.08,0.0,0.08,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,10.0,0.26,10.0,0.26,0.0,0.0,-2.0,213.0,85.0,0.4,78.0,0.37,0.0,0.0,0.0
152,2021-09-03 20:57:36.067759,QNGJ22-QNGN22,NATURAL GAS,-0.001,-0.16,0.17,0.17,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,24.0,4.0,0.17,6.0,0.25,0.0,0.0,0.0
153,2021-09-03 20:46:09.132015,QCLM22-QCLM23,CRUDE OIL,-0.17,-0.74,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,3.0,0.27,10.0,0.91,0.0,0.0,-5.0
154,2021-09-03 20:57:47.942155,@WK22-@WN22,WHEAT,6.25,1.81,0.17,0.0,0.17,42.0,17.0,0.4,17.0,0.4,0.0,0.0,1.0,78.0,41.0,0.53,51.0,0.65,0.0,0.0,4.0,260.0,133.0,0.51,130.0,0.5,0.0,0.0,5.0
155,2021-09-03 20:58:14.174497,@CK22-@CN22,CORN,0.0,0.0,0.08,0.08,0.0,163.0,163.0,1.0,163.0,1.0,0.0,0.0,1.0,164.0,164.0,1.0,164.0,1.0,0.0,0.0,1.0,583.0,289.0,0.5,276.0,0.47,0.0,0.0,2.0
156,2021-09-03 20:57:54.518078,@GFU21-@GFV21,FEEDER CATTLE,0.825,1.67,0.33,0.25,0.08,33.0,18.0,0.55,21.0,0.64,0.0,0.0,-3.0,81.0,61.0,0.75,56.0,0.69,0.0,0.0,-1.0,176.0,121.0,0.69,120.0,0.68,0.0,0.0,8.0
157,2021-09-03 20:56:42.262694,QCLV21-QCLJ22,CRUDE OIL,-0.09,-0.93,0.08,0.08,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.29,0.0,0.0,0.0,16.0,4.0,0.25,6.0,0.38,0.0,0.0,-4.0
158,2021-09-03 20:56:36.245721,@WZ21-@WZ22,WHEAT,8.25,1.56,0.08,0.08,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,9.0,7.0,0.78,6.0,0.67,0.0,0.0,2.0
159,2021-09-03 20:58:19.281353,QNGH22-QNGK22,NATURAL GAS,0.013,0.38,0.25,0.08,0.17,8.0,4.0,0.5,3.0,0.38,0.0,0.0,4.0,25.0,11.0,0.44,7.0,0.28,0.0,0.0,-2.0,102.0,41.0,0.4,30.0,0.29,0.0,0.0,5.0
160,2021-09-03 20:41:00.346227,QNGJ22-QNGQ22,NATURAL GAS,0.001,0.15,,,,,,,,,,,,,,,,,,,,20.0,3.0,0.15,5.0,0.25,0.0,0.0,1.0
161,2021-09-03 20:56:23.843629,QNGK22-QNGV22,NATURAL GAS,0.003,1.18,0.08,0.08,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,1.0,10.0,1.0,0.0,0.0,0.0,171.0,171.0,1.0,169.0,0.99,0.0,0.0,1.0
162,2021-09-03 20:53:18.039662,QHOV21-QHOH22,NEW YORK HARBOR ULSD,0.0003,0.17,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,10.0,0.56,1.0,0.06,0.0,0.0,5.0
163,2021-09-03 20:49:25.427188,QHOX21-QHOH22,NEW YORK HARBOR ULSD,0.0001,0.08,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.67,0.0,0.0,6.0
164,2021-09-03 20:50:54.960375,@WH22-@WN22,WHEAT,6.75,1.62,,,,,,,,,,,,35.0,35.0,1.0,17.0,0.49,0.0,0.0,1.0,50.0,43.0,0.86,24.0,0.48,0.0,0.0,3.0
165,2021-09-03 20:58:11.618296,QCLG22-QCLK22,CRUDE OIL,-0.03,-0.51,0.08,0.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.0,4.0,0.67,1.0,0.17,0.0,0.0,-3.0
166,2021-09-03 20:56:25.218538,QCLG22-QCLH22,CRUDE OIL,-0.01,-0.46,0.08,0.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,27.0,0.93,0.0,0.0,0.0,69.0,2.0,0.03,29.0,0.42,0.0,0.0,-1.0
167,2021-09-03 20:11:49.027847,QCLZ22-QCLF23,CRUDE OIL,-0.01,-0.5,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,2021-09-03 20:56:05.151915,QHOV21-QHOG22,NEW YORK HARBOR ULSD,0.001,0.71,,,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.86,5.0,0.71,0.0,0.0,2.0,41.0,20.0,0.49,32.0,0.78,0.0,0.0,9.0
169,2021-09-03 20:48:31.554386,QCLJ22-QCLM22,CRUDE OIL,-0.02,-0.51,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,0.22,8.0,0.25,0.0,0.0,-1.0
170,2021-09-03 20:52:58.797342,QCLX21-QCLK22,CRUDE OIL,-0.07,-0.65,,,,,,,,,,,,5.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,60.0,49.0,0.82,1.0,0.02,0.0,0.0,-5.0
171,2021-09-03 20:56:33.258258,QNGJ22-QNGM22,NATURAL GAS,-0.001,-0.18,0.16,0.08,0.08,2.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.06,0.0,0.0,-1.0,27.0,2.0,0.07,10.0,0.37,0.0,0.0,-1.0
172,2021-09-03 20:57:52.536343,@ZCTH22-@ZCTK22,CORN TAS,0.0,,0.08,0.08,0.0,65.0,0.0,0.0,65.0,1.0,0.0,0.0,,65.0,0.0,0.0,65.0,1.0,0.0,0.0,,65.0,0.0,0.0,65.0,1.0,0.0,0.0,
173,2021-09-03 20:29:23.294000,@CCZ21-@CCK22,COCOA,-4.0,-0.55,,,,,,,,,,,,,,,,,,,,82.0,0.0,0.0,8.0,0.1,28.0,0.34,0.0
174,2021-09-03 20:34:52.132450,QCLK22-QCLM22,CRUDE OIL,0.0,0.0,,,,,,,,,,,,,,,,,,,,50.0,0.0,0.0,37.0,0.74,0.0,0.0,0.0
175,2021-09-03 20:55:59.587371,QCLZ21-QCLK22,CRUDE OIL,-0.04,-0.41,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.22,3.0,0.33,0.0,0.0,-3.0
176,2021-09-03 20:57:44.122000,QNGK22-QNGN22,NATURAL GAS,-0.001,-0.54,0.17,0.17,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,0.5,0.0,0.0,0.0,15.0,15.0,1.0,10.0,0.67,0.0,0.0,0.0
177,2021-09-03 20:29:57.755000,@KCN22-@KCU22,COFFEE C,0.0,0.0,,,,,,,,,,,,,,,,,,,,38.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0
178,2021-09-03 20:40:44.634678,QNGF22-QNGK22,NATURAL GAS,0.013,0.26,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
179,2021-09-03 20:29:55.020000,@KCH22-@KCN22,COFFEE C,-0.05,-0.42,,,,,,,,,,,,,,,,,,,,268.0,266.0,0.99,237.0,0.88,0.0,0.0,0.0
180,2021-09-03 20:53:00.231986,@WN22-@WU22,WHEAT,0.5,0.74,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,13.0,0.19,33.0,0.47,0.0,0.0,0.0
181,2021-09-03 20:31:18.312122,@WU22-@WZ22,WHEAT,1.25,2.71,,,,,,,,,,,,,,,,,,,,24.0,3.0,0.12,5.0,0.21,0.0,0.0,2.0
182,2021-09-03 20:54:21.183939,QNGV22-QNGF23,NATURAL GAS,-0.006,-1.59,,,,64.0,0.0,0.0,64.0,1.0,0.0,0.0,0.0,104.0,0.0,0.0,91.0,0.88,0.0,0.0,-3.0,164.0,0.0,0.0,128.0,0.78,0.0,0.0,-3.0
183,2021-09-03 20:50:32.149511,@BOZ21-@BOZ22,SOYBEAN OIL,0.14,0.33,,,,,,,,,,,,9.0,6.0,0.67,9.0,1.0,0.0,0.0,10.0,44.0,19.0,0.43,15.0,0.34,0.0,0.0,10.0
184,2021-09-03 18:24:09.163000,@CCZ21-@CCZ22,COCOA,26.0,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2021-09-03 20:49:11.612013,@SU21-@SX21,SOYBEANS,-4.25,-0.93,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,6.0,0.86,0.0,0.0,0.0
186,2021-09-03 20:17:58.312366,QCLK22-QCLU22,CRUDE OIL,-0.03,-0.37,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,2021-09-03 20:57:19.699887,QNGV22-QNGX22,NATURAL GAS,0.0,0.0,0.08,0.08,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,52.0,2.0,0.04,3.0,0.06,0.0,0.0,0.0,67.0,2.0,0.03,3.0,0.04,0.0,0.0,0.0
